"Part;""Value"";""Device"";""Package"";""Description"";""MANF"";""MANF#"";""MF"";""MPN"";""OC_FARNELL"";""OC_NEWARK"";""PROD_ID"";""VALUE"";",,,,
"C1;""10uf"";""TANTALUM-SMD-22UF-10V(AVX-A)"";""AVX-A"";""302020008"";"""";"""";"""";""TAJA226*010#NJ"";"""";"""";"""";""22uf"";",,,,
"C2;""100n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C3;""330n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C4;""33n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C5;""33n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C6;""100n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C7;""330n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C8;""10uf"";""TANTALUM-SMD-22UF-10V(AVX-A)"";""AVX-A"";""302020008"";"""";"""";"""";""TAJA226*010#NJ"";"""";"""";"""";""22uf"";",,,,
"C9;""100n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C10;""33n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C11;""27p"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C12;""27p"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C13;""33n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C14;""220uF"";""CPOL-US140CLH-1010"";""140CLH-1010"";""POLARIZED CAPACITOR"," American symbol"";"""";"""";"""";"""";"""";"""";"""";"""";",,,
"C15;""100uF"";""CPOL-US153CLV-0605"";""153CLV-0605"";""POLARIZED CAPACITOR"," American symbol"";"""";"""";"""";"""";"""";"""";"""";"""";",,,
"C16;""100n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"C17;""100n"";""C-0603"";""C0603"";""Ceramic Capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"CF1;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"CF2;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"CS;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"CSMUX;""JUMPER-PAD-3-NOYES_SILK"";""JUMPER-PAD-3-NOYES_SILK"";""PAD-JUMPER-3-NO_YES_SILK"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"D1;""MBRA140"";""MBRA140"";""SMA-DIODE"";""40V"," 1A Schottky rectifier"";"""";"""";"""";"""";"""";"""";""DIO-08053"";"""";",,,
"D2;""20V-1A"";""SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)"";""SOD-123"";""304020034"";"""";"""";"""";""B5819W"";"""";"""";"""";""20V-1A"";",,,,
"I2N_IN;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"I2P_IN;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"INT;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"J1;""ST-PJ-312"";""AUDIO-JACK-6P-SMD(ST-PJ-312)"";""AUDIO6P-SMD-3.5-14.0X6.4X5.0MM"";""320040007"";"""";"""";"""";"""";"""";"""";"""";""ST-PJ-312"";",,,,
"J2;""4P-SMD-2.0-90D"";""GROVE-CONNECTOR-SMD-90D(4+2P-2.0)"";""HW4-SMD-2.0-90D"";""320110032"";"""";"""";"""";"""";"""";"""";"""";""4P-SMD-2.0-90D"";",,,,
"J3;""4P-SMD-2.0-90D"";""GROVE-CONNECTOR-SMD-90D(4+2P-2.0)"";""HW4-SMD-2.0-90D"";""320110032"";"""";"""";"""";"""";"""";"""";"""";""4P-SMD-2.0-90D"";",,,,
"J4;""12V AC"";""CON_DC_M-DC_SMD"";""DC_BARREL_JACK_SMD_2MM"";""DC power connector"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"LOGO1;""OSHW-LOGOM"";""OSHW-LOGOM"";""OSHW-LOGO-M"";""Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"MMD0;""JUMPER-PAD-3-NOFULL_BOX_SILK"";""JUMPER-PAD-3-NOFULL_BOX_SILK"";""PAD-JUMPER-3-NO_YES_SILK_FULL_BOX"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"MMD1;""JUMPER-PAD-3-NOFULL_BOX_SILK"";""JUMPER-PAD-3-NOFULL_BOX_SILK"";""PAD-JUMPER-3-NO_YES_SILK_FULL_BOX"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"MS1;""FEATHERWING_NODIM"";""FEATHERWING_NODIM"";""FEATHERWING_DIM"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"PWR;""GREEN"";""LED'0603'"";""LED-0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"Q1;""8.192MHz"";""CRYSTALHC49UP"";""HC49UP"";""CRYSTAL"";"""";"""";"""";"""";""unknown"";""unknown"";"""";"""";",,,,
"R1;""100R"";""SMD-RES-1K(0603)"";""R0603"";""301010298"";"""";"""";"""";""RC0603FR-071KL"";"""";"""";"""";""1K"";",,,,
"R2;""1K"";""SMD-RES-1K(0603)"";""R0603"";""301010298"";"""";"""";"""";""RC0603FR-071KL"";"""";"""";"""";""1K"";",,,,
"R3;""1K"";""SMD-RES-1K(0603)"";""R0603"";""301010298"";"""";"""";"""";""RC0603FR-071KL"";"""";"""";"""";""1K"";",,,,
"R5;""100R"";""SMD-RES-1K(0603)"";""R0603"";""301010298"";"""";"""";"""";""RC0603FR-071KL"";"""";"""";"""";""1K"";",,,,
"R6;""1K"";""SMD-RES-1K(0603)"";""R0603"";""301010298"";"""";"""";"""";""RC0603FR-071KL"";"""";"""";"""";""1K"";",,,,
"R7;""2.4R"";""SMD-RES-1K(0603)"";""R0603"";""301010298"";"""";"""";"""";""RC0603FR-071KL"";"""";"""";"""";""1K"";",,,,
"R8;""2.4R"";""SMD-RES-1K(0603)"";""R0603"";""301010298"";"""";"""";"""";""RC0603FR-071KL"";"""";"""";"""";""1K"";",,,,
"R9;""1K"";""SMD-RES-1K(0603)"";""R0603"";""301010298"";"""";"""";"""";""RC0603FR-071KL"";"""";"""";"""";""1K"";",,,,
"R10;""100K"";""SMD-RES-0R(0603)"";""R0603"";""301010292"";"""";"""";"""";""RC0603JR-070RL"";"""";"""";"""";""0R"";",,,,
"R11;""INF"";""SMD-RES-0R(0603)"";""R0603"";""301010292"";"""";"""";"""";""RC0603JR-070RL"";"""";"""";"""";""0R"";",,,,
"R12;""12R"";""RESISTOR0805"";""0805"";""Resistors"";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"R13;""1K"";""SMD-RES-0R(0603)"";""R0603"";""301010292"";"""";"""";"""";""RC0603JR-070RL"";"""";"""";"""";""0R"";",,,,
"RXMUX;""JUMPER-PAD-3-NOYES_SILK"";""JUMPER-PAD-3-NOYES_SILK"";""PAD-JUMPER-3-NO_YES_SILK"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"SCKMUX;""JUMPER-PAD-2-NOYES_SILK"";""JUMPER-PAD-2-NOYES_SILK"";""PAD-JUMPER-2-NO_YES_SILK"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"SCLK;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"SI/RX;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"SO/TX;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"TXMUX;""JUMPER-PAD-3-NOYES_SILK"";""JUMPER-PAD-3-NOYES_SILK"";""PAD-JUMPER-3-NO_YES_SILK"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"U1;""ATM90E26"";""ATM90E26"";""SSOP-28"";""Single-Phase High-Per"";""Atmel"";""90E26"";"""";"""";"""";"""";"""";"""";",,,,
"U2;""CJT1117-5.0-SOT223"";""PMIC-CJT1117-5.0(SOT223)"";""SOT-223"";""310030096"";"""";"""";"""";""CJT1117-5.0"";"""";"""";"""";""CJT1117-5.0-SOT223"";",,,,
"USEL;""JUMPER-PAD-3-NOFULL_BOX_SILK"";""JUMPER-PAD-3-NOFULL_BOX_SILK"";""PAD-JUMPER-3-NO_YES_SILK_FULL_BOX"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,
"WARN;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
"ZX;""WIREPADSMD1","27-254"";""WIREPADSMD1","27-254"";""SMD1",27-Feb,"54"";""Wire PAD connect wire on PCB"";"""";"""";"""";"""";"""";"""";"""";"""";"
