Location,MPN,Quantity
"C12, C11",06031A270JAT2A,2
C14,UWD1H221MCL1GS,1
C15,EEE-0GA101SR,1
"C5, C4, C13, C10",06035C333JAT2A,4
"C7, C3",0603YD334KAT2A,2
"C8, C1",TAJA106K016RNJ,2
"C9, C6, C2, C17, C16",GRM188R71H104KA93D,5
D1,MBRA140T3G,1
D2,B130LAW-7-F,1
J1,ST-PJ-312,1
J4,6.94E+11,1
PWR,LTST-C190KGKT,1
Q1,ABLS3-8.192MHZ-D4Y-T,1
R10,CR0603-FX-1003ELF,1
R12,1-1614884-9,1
"R5, R1",ERJ-3EKF1000V,2
"R8, R7",CRCW06032R40FKEAHP,2
"R9, R6, R3, R2, R13",CRCW06031K00FKEA,5
U1,ATM90E26-YU-R,1
U2,TLV1117-50CDCYR,1
"J3, J2",110990037,2
R11,RC0603JR-070RL,1
